status,pruning_ratio,quantization_mode,remaining_params,model_size_mb,accuracy,f1_macro,majority_class_rate,beats_majority,latency_ms_per_sample
ok,0.0,FP32,4153556,15.84,0.8983,0.3949,0.9026,False,0.072
ok,0.0,INT8_Dynamic,4153556,3.96,0.8979,0.3949,0.9026,False,131.701
ok,0.2,FP32,3448446,13.15,0.8474,0.3353,0.9026,False,0.075
ok,0.2,INT8_Dynamic,3448446,3.29,0.8474,0.3381,0.9026,False,133.217
ok,0.4,FP32,2743335,10.46,0.4783,0.217,0.9026,False,0.073
ok,0.4,INT8_Dynamic,2743335,2.62,0.4811,0.2175,0.9026,False,130.629
ok,0.6,FP32,2038225,7.78,0.5528,0.2166,0.9026,False,0.073
ok,0.6,INT8_Dynamic,2038225,1.94,0.554,0.2171,0.9026,False,129.984
