pruning_ratio,quantization_mode,remaining_params,model_size_mb,accuracy,latency_ms_per_sample
0.0,FP32,3584900,13.68,0.0411,1.061
0.0,INT8_Dynamic,3584900,3.42,0.027,305.966
0.2,FP32,2887997,11.02,0.0411,0.048
0.2,INT8_Dynamic,2887997,2.75,0.027,312.573
0.4,FP32,2191095,8.36,0.027,0.049
0.4,INT8_Dynamic,2191095,2.09,0.0,306.72
0.6,FP32,1494193,5.7,0.9318,0.05
0.6,INT8_Dynamic,1494193,1.42,0.9318,313.295
